embeddings_scale,init_std,lr,train_loss,valid_loss
1.87,0.000271,0.000232,10.8125,3.1942968368530273
8.18,0.0129,0.000116,10.8478,3.6800243854522705
2.86,0.00769,0.0291,10.8269,6.121998310089111
6.15,0.188,0.00292,15.9891,2.7915029525756836
2.61,0.000455,0.000802,10.8128,2.786485433578491
3.44,0.00381,0.00306,10.8291,2.619716167449951
19.1,0.0268,0.0173,10.9287,4.384012222290039
15.9,0.000789,0.0221,10.8166,5.864617824554443
17.4,0.00046,0.00473,10.813,2.588763475418091
2.9,0.000302,0.0557,10.8125,6.126631736755371
15.5,0.0032,0.00389,10.8334,2.6120965480804443
19.0,0.0457,0.00949,11.1446,2.5071732997894287
9.2,0.000899,0.00065,10.8182,2.592153310775757
8.81,0.00405,0.00519,10.8254,2.6408331394195557
4.27,0.00164,0.000719,10.831,2.6583006381988525
2.06,0.0103,0.00018,10.8135,3.0171432495117188
14.1,0.000422,0.000153,10.8127,3.4279210567474365
7.89,0.0471,0.0815,11.111,6.253946304321289
14.6,0.012,0.00272,10.7954,2.44344162940979
14.7,0.0358,0.038,11.0876,6.231203556060791
13.4,0.000512,0.00042,10.8132,2.6686580181121826
19.9,0.00645,0.000826,10.8253,2.5116195678710938
1.47,0.191,0.00534,16.1174,2.7321536540985107
8.09,0.00167,0.00756,10.8238,3.3819689750671387
3.29,0.000107,0.02,10.8125,5.7618327140808105
8.1,0.00254,0.0369,10.8321,6.089658737182617
15.3,0.000656,0.000138,10.815,3.7090163230895996
2.34,0.134,0.000105,13.5308,4.9175639152526855
13.0,0.0527,0.000637,11.1541,2.7756338119506836
19.9,0.00258,0.0607,10.825,6.260108470916748
